coeff,ldmc,n,p,sla
Intercept,0.12220195318310229,4.936586808622261,0.35952212845594667,1.0604877401964714
400,-0.033008382061090843,-2.1775075097554635,-0.06953685476106596,0.7728848890980677
410,-0.03253276652827527,-2.111570333629605,-0.03920083283577874,1.0812860439618814
420,-0.03101895967640754,-2.0944501004497598,-0.037000671445803754,0.9727771720043532
430,-0.029600848160031123,-2.0912218504998745,-0.03198765548680069,0.8707780085265837
440,-0.028186789626620627,-2.064527630326288,-0.024536551332171905,0.8346628892828014
450,-0.027006902239170058,-2.038431627700737,-0.022393321622516713,0.7713505235311002
460,-0.02646628798148388,-2.0322280089253195,-0.026357434801970045,0.6740281739246441
470,-0.026145217023123307,-2.0424018256614915,-0.028002702366232687,0.6033176167379299
480,-0.025626566146458987,-2.0262041685683028,-0.02366121101271995,0.5674572791660821
490,-0.026280555991141503,-2.0059949368643664,-0.02770560794464702,0.41190898284067123
500,-0.027416735737053853,-1.8602549239248898,-0.0020641355415939866,0.2942078776366772
510,-0.028994406188153753,-1.5476649244507135,0.07000096293320048,0.14601076640053168
520,-0.030330020327229423,-1.1327375259716266,0.16099525172125972,0.17296598741245672
530,-0.03081409519098133,-0.8461979947621231,0.16971980343234702,0.5043742082901058
540,-0.03050530460150566,-0.7449970687151128,0.11452748697555083,0.7424805494841917
550,-0.029520709438883488,-0.7036372824549928,0.06316380961233041,0.7607697786386161
560,-0.027617931108984233,-0.7580817345799593,0.01879703780233026,0.6551597498927986
570,-0.025092297021583422,-0.9733647169535788,-0.04838550053696869,0.2772937760601457
580,-0.02285155411680313,-1.2182256961432736,-0.11509318763577533,-0.23847839386695002
590,-0.02057577247984213,-1.4054466984257625,-0.16065858136407546,-0.7584028947851102
600,-0.018805992216220903,-1.5957690825639426,-0.19947971481634563,-1.3022864076778775
610,-0.018320754955414527,-1.8680955062293325,-0.23203612352726521,-1.804674067503797
620,-0.01883209826422723,-2.1193405217792423,-0.25990027683732075,-2.252725565182195
630,-0.01980784564052126,-2.3177284819754655,-0.28677856510374133,-2.640986010346447
640,-0.02299346983903562,-2.623310268585982,-0.2983410712659309,-2.878430368853815
650,-0.026669868076569635,-2.9038258757682414,-0.2986595340559438,-2.9882103803053184
660,-0.031939258725691894,-3.1900093711688173,-0.2827644995920023,-2.971446334527078
670,-0.036450595290339116,-3.4127606320546136,-0.27346840136052575,-3.030776889448332
680,-0.033053727386122084,-3.3693826907771247,-0.32670145289288666,-3.4300329886199887
690,-0.015148020054505225,-2.5029045718606344,-0.4019822758023927,-4.029559918994028
700,0.007351477382220108,-1.1221247620591677,-0.3454439137507794,-3.5521917750498617
710,0.021104208506584152,-0.20451719939770258,-0.1928893425897738,-2.2810590989924986
720,0.025735318743006122,0.1541496429518719,-0.011080950239272663,-1.0205506744584163
730,0.022559232975763236,0.20285743613919527,0.14058729671183048,-0.018753085698681282
740,0.01642808118321978,0.12828269239934692,0.216379403214296,0.49598994293636406
750,0.01132865155978694,0.06867324923075604,0.23237200223343638,0.7536937196839684
760,0.0069330390063728885,-0.0820667306425007,0.21093646431178614,0.7269652761380041
770,0.004054677365804263,-0.25339719190099647,0.17083290596870498,0.29189902031622356
780,0.0032083698441707667,-0.239856800892346,0.15353879695928802,0.24115968040709426
790,0.0032278366332150043,-0.24854415696176757,0.14251324533435983,0.2637511791586813
800,0.003131402624786511,-0.24425415436047632,0.1327896979238892,0.285437083604315
810,0.002745029243700588,-0.2592178394323339,0.12382797853868108,0.35369000606940537
820,0.0024714434517845423,-0.2093294509103368,0.11846923671736947,0.4924835214744035
830,0.0024898487374067756,-0.22494493282060363,0.10875491115431342,0.4761084394423424
840,0.002555572189299096,-0.24862770410469007,0.0994238678612312,0.4420651400005309
850,0.0024970124155347245,-0.2289661921141683,0.09235411453046735,0.4649934891608523
860,0.0027415180595399794,-0.288505928981822,0.07899673918170735,0.3719203458491172
870,0.0025853328406865816,-0.2508534340591461,0.07161403706384331,0.4706492058003947
880,0.0026408820773610353,-0.27888844218649694,0.061751647747898736,0.4539711566866146
890,0.002990951501495613,-0.2723950631091185,0.05159304626182029,0.42133812684436556
900,0.003489287105448622,-0.30436872913401297,0.03695356607923691,0.33206989228706774
910,0.0037484411805486476,-0.3485038800594363,0.02516236809861317,0.2722555707881547
920,0.0036410899341721937,-0.2948214926843342,0.022394175933211448,0.37081060287237644
930,0.0037858252440524224,-0.2819762694089708,0.017509771716102768,0.375338086763546
940,0.0044301748360781965,-0.2950813304220622,0.010778961504010389,0.31350271364433535
950,0.005083700566184502,-0.34507078673853925,0.0098980521307831491,0.2333489200523999
960,0.006015819809309745,-0.35202176892663345,0.004832733011951904,0.11885944183824278
970,0.006470004563628356,-0.3445181289002437,-0.00392556007883553,0.06986342998040121
980,0.006764368314591832,-0.3658820918948229,-0.015615083964243466,7.783983273204065e-4
990,0.0066654091305748744,-0.22526467485035154,-0.01889309993662916,0.183280564738377
1000,0.006766594991696682,-0.2320944612104484,-0.03249437930437154,0.11388687490337807
1010,0.007321593117105094,-0.22170681165248238,-0.046250887289071715,-0.010950195878927205
1020,0.0074851054148378175,-0.23321623340753606,-0.05960352230463074,-0.08115338384723486
1030,0.007869004211538633,-0.05549222678718785,-0.06052623813066026,0.03284129503727695
1040,0.008548696906644816,-0.10720991524850465,-0.07507392310719802,-0.1615721131872644
1050,0.009129159156351638,-0.15420557016789194,-0.08750810662064068,-0.33228771096084736
1060,0.009251037497755025,-0.09582627018419587,-0.09048571396145325,-0.2894257378163908
1070,0.009301993813801812,-0.0813161180186257,-0.09382215651309042,-0.2793507993603288
1080,0.009763475182986581,-0.057569266318999224,-0.09732314688141994,-0.31920752321860996
1090,0.010007279064150297,-0.019406823934627948,-0.09831173087542097,-0.2962053557101325
1100,0.01052563382796454,-0.03684784880287617,-0.10298724472721663,-0.4177362442055114
1110,0.01060024694874134,6.380665083898229e-4,-0.10188507892628941,-0.3895038924113354
1120,0.011263898301554817,-0.010412664994391585,-0.10537451769636166,-0.47052984915031404
1130,0.012218843991832404,-0.052436053692464735,-0.10357291913632942,-0.5923141257074116
1140,0.013275098270321776,-0.12273760790366409,-0.08825754562049962,-0.6329288448249263
1150,0.014456956842207505,-0.17640855860311883,-0.07738632347190026,-0.6995320138069593
1160,0.015302859044763537,-0.17087059702209556,-0.07791530680495914,-0.7354080433935329
1170,0.015874944743878277,-0.1451119161128342,-0.08398833725115845,-0.8017973747065539
1180,0.015995148524198324,-0.07398639526468781,-0.0848233715710587,-0.7234115096250062
1190,0.016610778968083564,-0.026962363432395192,-0.08845423877356931,-0.7635252498744238
1200,0.01703315541857294,0.04161992525714303,-0.09339789395894384,-0.8155144120306277
1210,0.016694383087207863,0.17351084656924098,-0.09357812197150867,-0.7609163092104997
1220,0.01542352110139903,0.2630376799078156,-0.09319435834827854,-0.7033471523735703
1230,0.01360791472147298,0.35680873823468506,-0.09060268044514747,-0.6174177236953008
1240,0.01100247100557112,0.39189570927096634,-0.08817108006656692,-0.5184848359445137
1250,0.008796116270364083,0.493385804244225,-0.0819336203328811,-0.409564895541611
1260,0.006422753223256146,0.5340623196006659,-0.07715876413704209,-0.3141383283839539
1270,0.00462026977061784,0.5706036602442867,-0.07139435210066516,-0.23075226936632992
1280,0.003278689402685728,0.6493963622319057,-0.06085379828787101,-0.06175662237590446
1290,0.002936172520342989,0.6443550060060904,-0.05700673380519031,-0.048018855510071456
1300,0.005025503476729584,0.6027133403577076,-0.05792584332163601,-0.24008220239547867
1310,0.007965172608860835,0.4464032769534986,-0.06287571927379432,-0.5666122452912453
1320,0.010112601613429664,0.34562056195306357,-0.05688241668586774,-0.7274036393303636
1330,0.011992084968380915,0.29255434526002316,-0.043070552463204695,-0.7500741696143787
1340,0.011038762148870512,0.2904269999976101,-0.014886341469338149,-0.4619377326619921
1350,0.008354369323325636,0.39691067327340923,0.022636334320275994,-0.006071510320487028
1360,0.011852576566593987,0.1910769688893761,0.021948422442998647,-0.3126527198103032
1370,0.0123870331514437,0.005206216686812093,0.05128495148816945,-0.3135911677105703
1380,0.025992738605878356,-0.36382561900184873,0.05571310940579195,-0.647972209974804
1390,0.03939678981501862,-0.3227478311613565,0.0814392962438342,0.015846929161033918
1400,0.04832739578116749,-0.13027155130959844,0.08790832616256192,1.0308047737786132
1410,0.04655368506465596,0.42072545792450244,0.15364807818468398,2.245919430536453
1420,0.04096364101487479,0.8790678242529559,0.20618059210236384,3.014882571477666
1430,0.03731934366928341,0.9907069943356368,0.20455905959449075,3.075736872297644
1440,0.03580340869097822,1.006406495900506,0.1889986364696773,2.844302832337106
1450,0.03611305587741489,0.7879690066895505,0.13763961476722048,2.350760348856127
1460,0.035849767775804627,0.6542504721751183,0.10930508579854067,1.9957247374700267
