coeff,lma,n,p,sla
Intercept,0.3045452615987301,18.995473541187522,1.2723100949774275,9.300586315237725
400,-0.008556372889801635,0.5284349533978729,0.05394300400752085,1.0673287074472528
410,-0.016820615214695155,0.5915097038945081,0.05117604023846589,1.1847282580213374
420,-0.015654293376694356,0.5402598749892578,0.04389654199396729,1.114460072018123
430,-0.015060482866208275,0.5054991113227062,0.03842244182030373,1.065065166784846
440,-0.012825904807433036,0.4584147387758721,0.03251416535718471,1.0023319520638851
450,-0.007211008901774134,0.37840198908090705,0.023827104369899918,0.894675981841571
460,-0.002987803393215041,0.31330102626068834,0.0171430745994668,0.7948826888122861
470,-4.284019354048735e-4,0.27723512037591025,0.01322224043907989,0.7375353468065696
480,0.0020088297040910235,0.2549456326172039,0.011423950267162742,0.6895028748578285
490,0.004066535103360127,0.26227115549543706,0.01261108378211637,0.5955708472590937
500,-3.463059088188742e-4,0.42935319472100153,0.03199472817183935,0.5231463312621281
510,-0.017789433072779977,0.8870688144283482,0.08391567863585533,0.5449825532545993
520,-0.03793668304352627,1.3667658588007947,0.13830876870948888,0.5959767785742451
530,-0.038301132477790004,1.2967123753575664,0.1256702964668715,0.45609470238102895
540,-0.023537843882808933,0.860098800195283,0.07230679831229522,0.1591099197746327
550,-0.009398761779911913,0.4505986909248898,0.026006619181466045,-0.13960649304612208
560,0.0038879697116433413,0.07022450322020074,-0.014372597520763605,-0.39136505396280374
570,0.01826453413718839,-0.4019622732933489,-0.06071769171839146,-0.6760254406281165
580,0.02665644395476279,-0.7986081773472387,-0.09685160203811694,-0.9304855614395082
590,0.029118705779935004,-1.1016946033734356,-0.12204564903014113,-1.1547280344041022
600,0.028609470060965928,-1.3375657954159252,-0.13996991654232332,-1.3335275460893212
610,0.02335186293364499,-1.4703023406935447,-0.14590562234082952,-1.3822971948706329
620,0.017445217734578054,-1.5334048591610634,-0.14639458105657255,-1.3962233898614007
