coeff,lma,n,p,sla
Intercept,0.31430258233668884,18.931450565617876,1.258680197485237,9.425617056567312
400,0.006259943640188483,-0.31626653836263563,0.0036893888728129764,-0.2783913782077514
410,0.007134023390297691,-0.355620879822243,-1.4917551506247323e-4,-0.35032217231190843
420,0.008088302553023202,-0.4054948574458387,-0.005958849150623481,-0.43993215065815355
430,0.008995643131284519,-0.4545192092630224,-0.011194624217576856,-0.5274578841346608
440,0.00974282398386055,-0.4882538282011354,-0.01510271106138815,-0.5974704457674499
450,0.010174028798810394,-0.5007946848447548,-0.017554961210556164,-0.6427517707618774
460,0.01037016982318581,-0.5033177576877851,-0.018923523633513118,-0.6675809415088119
470,0.010590435359297254,-0.5119773508452008,-0.020159600075720197,-0.6985957264182199
480,0.010669222902155212,-0.5151722632162786,-0.020051221276042207,-0.7323583725553652
490,0.00973506171515638,-0.4685024624100402,-0.013903233680230116,-0.727578432026783
500,0.006783184071237976,-0.33211548046744604,0.007690833809025313,-0.7219097385165154
510,0.0015199284971800426,-0.0911979735754895,0.05134842705407389,-0.7671206476426595
520,-0.0045281014834439425,0.20163645100689637,0.09988953918633345,-0.7704956766078777
530,-0.00817801352423025,0.39090042365327204,0.1102833001052758,-0.5173778221864147
540,-0.008969379629852427,0.46022744512953095,0.09401854715602362,-0.2064840138943943
550,-0.008707654900228096,0.48328700372386263,0.07726608625763716,-0.01831202408900487
560,-0.006874150421976234,0.42929233211545614,0.056180891480053556,0.02810312270290613
570,-0.002752090309798742,0.2725498113753207,0.023217519627275664,-0.04453478515199932
580,0.0012615901999527097,0.0970884986986521,-0.007759008660241252,-0.18321588679425851
590,0.004295746641175317,-0.060132514786009145,-0.03221206544482824,-0.3530881470448485
600,0.006866774950391174,-0.21207535949293554,-0.053394740561532275,-0.5397270063409713
610,0.009443049820637888,-0.36849982284802185,-0.07205990489577851,-0.7588503852546755
620,0.011110916794784766,-0.4882043681787278,-0.084942446852682,-0.9335500079927066
630,0.012090349842437769,-0.565933383602929,-0.09321865358298626,-1.0472623800034033
640,0.012764098646205419,-0.6369925373177148,-0.09538140988099336,-1.1710235093271821
650,0.012822745993312488,-0.67926173507264,-0.09268093750363826,-1.252624279036377
660,0.01192238353653205,-0.6922706613183633,-0.08228821217435997,-1.288103322796112
670,0.010926626187988783,-0.690414616665401,-0.07239487606115773,-1.290861056768851
680,0.01281657100270559,-0.7375850124821092,-0.08989691421248842,-1.3361702086721232
690,0.016710122729226513,-0.8710754950354972,-0.13702243478921036,-1.2735174271669798
700,0.01737021089902884,-1.1887243245579806,-0.16933267804617674,-1.0068978833900468
710,0.014727028471527806,-1.469237270376945,-0.16541576785807466,-0.8190094747463104
720,0.010854106473368343,-1.4568948255681078,-0.12652524374280366,-0.7774422781578259
730,0.005841864452443285,-0.9581372681934085,-0.05697555245754018,-0.6616401608968587
740,0.0012198731394240494,-0.2803156931188942,0.013257361220786626,-0.4235646229926045
750,-0.001970020527374606,0.18802681329674886,0.056196755743695884,-0.16012086034369621
760,-0.0036778144669920437,0.5198318730102159,0.08638563948058894,0.07455479002470887
770,-0.00455072325568995,0.6740617195590002,0.10660013808950355,0.18809367136289284
780,-0.0048192281872238805,0.6855908224683573,0.1073901668628963,0.2366768936560896
