coeff,lma,n,p,sla
Intercept,0.32747512979279914,18.72951159324357,1.2712469370477326,9.811648186815097
400,7.644647099993339e-4,0.4787406819979125,0.05431099433528882,0.5919259808233872
410,0.002129350443627474,0.532978903283821,0.05181168200343902,0.6225689836868198
420,0.003486470742691229,0.48045412888731154,0.045037321847728566,0.553107404383061
430,0.004558673335237568,0.44086658773702764,0.039989668688649754,0.49408878289995695
440,0.005786012294550535,0.39419256620495424,0.03405612667264549,0.4375349344241062
450,0.0072747162999921905,0.3151908511575594,0.025310900257786866,0.3473887244474918
460,0.008300862510743958,0.24841401889487733,0.018179076474283108,0.2623953952676557
470,0.008908354103152157,0.21086686157019693,0.014167012286871134,0.21489436633062248
480,0.00923873615610945,0.19322446759045442,0.012093856571990011,0.18026291166271824
490,0.008560382067465396,0.1982476684392258,0.011148309612402601,0.11981943741774215
500,0.004461243704046703,0.37071825397092595,0.02652754759966649,0.11430340843151698
510,-0.0050742160212124765,0.8356097653324288,0.07223937204718817,0.2251265861389908
520,-0.015060804899881031,1.3304365280024455,0.12150779770515516,0.3612928139680128
530,-0.015077816907976698,1.2600606433849315,0.10875648495718107,0.3019485152775321
540,-0.008297508385033627,0.8081072107407946,0.05858134121981788,0.07242013652786436
550,-0.0020502998694748786,0.3888752652534743,0.015886312164852485,-0.16441502315995957
560,0.004145950638038054,-0.0026974631847799246,-0.020597746466890006,-0.3793764642753302
570,0.01196413044076532,-0.48727242355828737,-0.0618981460514163,-0.6585518029161908
580,0.018057028420190014,-0.9005896728548081,-0.09375734350557002,-0.9125738765316098
590,0.02225775594454383,-1.2132935969215277,-0.11554703324929536,-1.126292314057987
600,0.025355381018241793,-1.460524371734833,-0.1305752783376527,-1.302168845697017
610,0.02697322464024772,-1.6025479496245563,-0.13485203235917428,-1.393596299643078
620,0.02755656477877564,-1.676984449469188,-0.13429344617543731,-1.448583061153703
630,0.027792548789774902,-1.7180942783165043,-0.13382993125250822,-1.4863235124141552
640,0.025778353608380412,-1.5756974424004144,-0.11529498208710551,-1.3815803651475238
650,0.02299682196200675,-1.3656382071838116,-0.09192941959994086,-1.2221077194182968
660,0.018282918689671152,-0.9918259846740849,-0.05512772040573735,-0.9334538755121368
670,0.014580262720349624,-0.6897519853039453,-0.02713998838146838,-0.7105270782847827
680,0.019578623014347735,-1.121176434033449,-0.06545818310345446,-1.0377803631555271
690,0.03576831878494268,-2.356020798047426,-0.1922861821839527,-1.9541696432635653
700,0.04785945296788399,-3.0822664583757025,-0.28797868247825376,-2.564803847252535
710,0.04641812101917142,-2.9397202860177956,-0.29028702935960105,-2.6508838124352603
720,0.032770456185077346,-2.0704522308404183,-0.21161846403322446,-2.2560742491013333
730,0.013865800464655126,-0.7688724002305719,-0.08962926859346654,-1.4731314428123612
740,6.921275626616593e-4,0.2992455889438079,0.010104513207763786,-0.7101850742837589
750,-0.0052089820024839514,0.8354796991570523,0.062186038154911444,-0.2084634169774245
760,-0.007514735067499801,1.1237414579729268,0.0958773122710162,0.190473993265507
770,-0.008042648009021644,1.2186512283877027,0.11688281014174208,0.42808573642967357
780,-0.008044779982161961,1.1846946324374357,0.11774498754352913,0.4833359539276635
790,-0.007183011315875734,1.1123661360297765,0.11055864669966739,0.4539955555912888
800,-0.0064868317999028854,1.0472797304305794,0.10419427951033833,0.42877918581654284
810,-0.006020303191373755,0.977997469845493,0.09811442058593198,0.4184887464924737
820,-0.005785128259871278,0.926790981622263,0.09287049429307373,0.42250258229237087
830,-0.005066485555037261,0.8599642732081336,0.08639012382490133,0.39133398362932004
840,-0.004319756707774864,0.793778947502461,0.08025716317501079,0.3563007440592181
850,-0.0038737555569981264,0.7396715414473066,0.0749328566643296,0.33213044457271335
860,-0.0027373036601089583,0.652380834533919,0.06736622950574547,0.27946858070193237
870,-0.0022814094810604726,0.5888620063083443,0.06120440894073792,0.2733347098213004
880,-0.0014417281172694868,0.5107328858875952,0.05426787019661829,0.23812303775431298
890,-6.265084465921079e-4,0.4384656447300088,0.04731581340919441,0.19560787766974952
900,6.752483733394703e-4,0.34191444889082495,0.038727900840766924,0.1353858679934403
910,0.0016420476967093488,0.25223261544427106,0.031100693766049365,0.0928873526389507
920,0.0015796372312385423,0.20658626396222285,0.027325036940683358,0.09750199564687376
930,0.001782013532971471,0.14688203562135693,0.02268740683818834,0.09057603938509312
940,0.002330278190950599,0.0703991415103668,0.01711639602322002,0.07017641229291663
950,0.00249424783885538,0.007455031215930552,0.013469117090366793,0.0822804731236336
960,0.0031968907592039597,-0.05997334000259502,0.008595648996466613,0.0558858866478609
970,0.003810745161132695,-0.12973449077744753,0.0025859471850616916,0.018969120321843808
980,0.0047087266766268005,-0.20729892436358804,-0.004390128294720012,-0.034055328592333095
990,0.004697697637762583,-0.2355464095699379,-0.008512053540957742,-0.04502747525404563
1000,0.0058062349565029935,-0.3143794710370245,-0.016475567806264624,-0.12144508189020323
1010,0.007086440803582049,-0.38123279717890024,-0.02411817000188307,-0.21317800086767663
1020,0.008257306226456498,-0.4501025954795858,-0.03151886897513866,-0.29086250514841544
1030,0.008623404583295548,-0.45601854902191163,-0.03541013091666427,-0.33313813723899127
1040,0.01032085565088345,-0.5231614433781626,-0.04308901712152896,-0.433907481943957
1050,0.011802087383081257,-0.5916349198362231,-0.05029673321055684,-0.5198056511030288
1060,0.012243156100838683,-0.6207835997337025,-0.05433714757847037,-0.5473539931882243
1070,0.012859974907174922,-0.6539119050522383,-0.05853740059017356,-0.5736371953020107
1080,0.013555384519445504,-0.6880359444665035,-0.06286508835979536,-0.6118443250952953
1090,0.013847705759656706,-0.7189638978988302,-0.06625273080904265,-0.6261177953483303
1100,0.01450580975624183,-0.7586228539064681,-0.07002133954492773,-0.6659459133119813
1110,0.014349561084440571,-0.769440406296449,-0.07127627784683843,-0.6641817546484888
1120,0.014943951574532002,-0.8184700944783003,-0.07505962399138019,-0.6909591983211296
1130,0.015035371417802607,-0.8633357354813425,-0.07681671535551078,-0.6795342912082619
1140,0.014015163287102608,-0.8879095018534666,-0.07344366119649129,-0.5646154294386548
1150,0.0135483837489563,-0.9165947798725864,-0.07159865608535995,-0.4925562731533074
1160,0.013624298726640924,-0.95622524656518,-0.07375934057366099,-0.4937498220417756
1170,0.013843775967190278,-1.006720954192959,-0.07729665943939627,-0.5273663607318057
1180,0.013427075805225949,-1.0347347243497802,-0.0791417041149904,-0.5221480314984119
1190,0.013626262274970822,-1.068108637058379,-0.08165914194652642,-0.5535466262325884
1200,0.013771833241626542,-1.0913847065119504,-0.08458245507496434,-0.59501260190612415
1210,0.01303662857297138,-1.0724541418556162,-0.08418230295946783,-0.6057869909128503
1220,0.011828276945556878,-1.0346222161190344,-0.08256084527422716,-0.5834452551089718
1230,0.010303096957194757,-0.9702728180297819,-0.0785917320917781,-0.5443143505112809
1240,0.008418879437508391,-0.8999052099109333,-0.07359203189144224,-0.46789274996417
1250,0.006377979346796207,-0.8057635855542234,-0.06726439143471655,-0.40347064425091816
1260,0.004588389978472294,-0.7248337937937213,-0.06153919296357904,-0.3307117878359848
1270,0.0030390758230940725,-0.6534497927086549,-0.05648663551409319,-0.2630053981097391
1280,0.0015543012824025919,-0.5874292213632286,-0.05169257623810708,-0.1820866457545574
1290,0.0011024198121011033,-0.5838832460808534,-0.05096773661868125,-0.15201521692313608
1300,0.0026285689462137844,-0.6492187539837855,-0.05624071492750606,-0.21817432744888077
1310,0.005050540151616962,-0.7581215770237331,-0.06363753586330577,-0.30283885026126
1320,0.006127287673906894,-0.8035208779837595,-0.06485906549498158,-0.305280837707837
1330,0.0064147710252835406,-0.8112136969433589,-0.06216102033594045,-0.24719240107282128
1340,0.004164861128666153,-0.6978418416672427,-0.04907082502922351,-0.0446878352931708
1350,4.035241898248977e-5,-0.4742275056833176,-0.02799085353703424,0.22791714960754178
1360,0.002242064179155886,-0.5690028880156797,-0.03149944331962642,0.17127229665908525
1370,9.760880218627976e-4,-0.46260449220916483,-0.016024904599878383,0.31829232439254374
1380,0.012007678946579408,-0.8273603658657388,-0.040850566906980273,0.07127334474966968
1390,0.022714472136413245,-1.0382613373876524,-0.06325402721275027,-0.0840345410168527
1400,0.03051225653389271,-1.189557868980676,-0.08718018417082364,-0.19166639809834038
1410,0.024259220337111104,-0.7230686576892109,-0.05411650898891404,0.056346471155277134
1420,0.016081362299526725,-0.24286170013350594,-0.016427454188753764,0.31001236236843943
1430,0.013069894136870179,-0.09061300799494318,-0.0048154005970099355,0.35447702551618904
1440,0.01180535245101568,-0.06156826400680862,-0.0020900989787722354,0.31002703398183795
1450,0.014944802085647618,-0.3044273747070461,-0.02248546047406984,0.1604120411823856
1460,0.016214925461925347,-0.4560555425866049,-0.0328296945945627,0.09077202198931654
1470,0.008271048681023099,-0.10722850701922834,0.002116417873743986,0.2521491150053087
1480,0.0016559427422301314,0.1457630918576472,0.02886322771761033,0.36710288314422046
1490,0.0030001331884943554,-0.0855643977069252,0.01046660775190251,0.3181743526027818
1500,0.003026659043804729,-0.22946727230341377,-1.7375861255875848e-4,0.29604830800563015
1510,-3.709177110649646e-4,-0.17188619211403144,0.006170545343555862,0.37414414387609785
1520,-0.00393755594774688,-0.09941370705777514,0.012735015884130639,0.4637434925448273
1530,-0.007214487275068522,-0.020373704200831205,0.019124701547577967,0.5454512457731356
1540,-0.011142807944680293,0.10258429159848051,0.028660240454713336,0.6744656985394294
1550,-0.014435194158253395,0.21634947487539893,0.03718100056523096,0.7800254057434588
1560,-0.018265332215360367,0.3626833126486769,0.04697246774642033,0.9083171284265811
1570,-0.02151787771145865,0.49592546112954006,0.055211758136276226,1.0060573660508767
1580,-0.02345238405451193,0.5588455613621126,0.05891385565827392,1.0624860164932806
1590,-0.023318652823681514,0.5140341692077616,0.0534981549383905,1.0319195641573273
1600,-0.02174085856021915,0.4226960683663219,0.0436329945675353,0.9114864508195725
1610,-0.02013442511225488,0.3343543379845737,0.03384885720935898,0.8147628769228439
1620,-0.018087522821363833,0.22319878264935347,0.023122658373052905,0.6949820254746759
1630,-0.017938515360836862,0.22071694942876452,0.02112060118575068,0.6589404220255297
1640,-0.018614039784853837,0.25257780111494055,0.023364423116364767,0.6838632035496343
1650,-0.021771579511516564,0.39811482067359627,0.03390258339957894,0.840514740232829
1660,-0.02581078508115949,0.6169032280714415,0.04949649361194591,1.0215082966047644
1670,-0.027659967903162833,0.7162954122278962,0.054579148185960734,1.089244445425918
1680,-0.03145181669017888,0.9139288476356899,0.06661107890941856,1.242975392427801
1690,-0.03652481645715531,1.168700506108686,0.0840971260938659,1.46580507395493
1700,-0.042449336074871516,1.4813839095866264,0.10851010778769242,1.7644359768712534
1710,-0.04622749066707499,1.6992018471585397,0.12597946120459147,1.985880003766061
1720,-0.045871341850764566,1.7159866838049216,0.12773359315638877,2.010553032338506
1730,-0.04231990265666361,1.576676518574574,0.11688888055954236,1.829996187340521
1740,-0.03831924380353458,1.4237236469495262,0.10570482717973828,1.6376563942164166
1750,-0.03273695640851114,1.1862543559060528,0.08701784726483681,1.472312886202493
1760,-0.024991882466641434,0.8344479407116996,0.06080214758337325,1.232086343232953
1770,-0.017534177636601013,0.4987888447865628,0.03557042986594349,0.95088675181451
1780,-0.011192742192521277,0.1862604578071793,0.01066462673233082,0.7428815168374434
1790,-0.00747381950670439,6.257094047239509e-4,-0.004522930994413928,0.6112323673136775
1800,-0.006089093098869522,-0.06971756233519388,-0.009837892514735628,0.5404031863840951
1810,-0.0036187632713817436,-0.18338557873558672,-0.01891287013117321,0.43079660999691044
1820,-0.01373416439726877,0.4084200793161471,0.03136000875288956,0.6799915845901174
1830,-0.008441828114375551,0.1574579386705895,0.012133171638190055,0.43371211135811744
1840,0.009114465555591356,-0.7658950462239915,-0.06112413284454368,-0.12757753245590364
1850,-0.010064898454482267,0.44839370497310416,0.05408789187493853,0.2402635471151086
1860,-0.00293051587808402,0.31000439909847205,0.04436771947818451,-0.019198536993695725
1870,0.03764382054447528,-1.6058327914154975,-0.13176019254959684,-1.1493011741905899
1880,0.05396780390127086,-2.1917211412084345,-0.21272765812719555,-1.7243873622235864
1890,0.04960522990775383,-1.9152096679271353,-0.22159357804802982,-1.6313322292020291
1900,0.03974077628667145,-1.4972215387285386,-0.19658295459571867,-1.342249333131732
1910,0.03440796273548382,-1.2450050365612892,-0.16509773933768765,-1.2019015620290312
1920,0.035419452283040595,-1.3053006836030137,-0.1571844107923071,-1.2446247251273381
1930,0.03852163644955466,-1.4591159009176222,-0.1626399928807112,-1.3768044235288843
1940,0.041603502375648964,-1.6235346848205705,-0.17262006658442117,-1.5282913508157154
1950,0.04372581766082154,-1.740677477631548,-0.17889888346751975,-1.647712049376871
1960,0.04526655565793428,-1.8343337733247387,-0.18308151581859192,-1.7503112675908459
1970,0.04778382442473721,-2.017161680259544,-0.19465910575351125,-1.84230851499341
1980,0.04904270147158236,-2.1279985775581705,-0.20000972353896013,-1.8912127452370266
1990,0.04891845055233866,-2.1383780289806795,-0.19762179477204617,-1.9364380439832383
2000,0.0479549081800788,-2.112030890924863,-0.19146014149443025,-1.9270619211340674
2010,0.042127479083174504,-1.8006144534782573,-0.1597274733074083,-1.7595671577520768
2020,0.033535778112009224,-1.3593227416235933,-0.1161503807573613,-1.4993784440336606
2030,0.0284977000952564,-1.1784071037996118,-0.09762926826899385,-1.31450303313555
2040,0.021230387744017767,-0.8857674820446203,-0.07013930956419849,-1.0522069298281385
2050,0.011480706442398767,-0.42770206145575057,-0.028724348948099068,-0.7063270859461783
2060,0.0017167792622525152,0.055936470687656406,0.014392508516926927,-0.3261889204349202
2070,-0.005272176948460385,0.4077459298340245,0.04607271952466458,-0.02656135402969014
2080,-0.011640413643056922,0.7186274283832612,0.07366658046353375,0.25513958005788945
2090,-0.01840344152705267,1.0457732338282892,0.10109729681041298,0.5303751770875507
2100,-0.024227940875244346,1.323374659251407,0.12392580527141887,0.7621391208131951
2110,-0.028952459266641528,1.5472412868736019,0.14076942125840763,0.9603357400940423
2120,-0.0324418661344295,1.7075716804752732,0.15168374566394813,1.1086232426231997
2130,-0.03446131252767086,1.7751718891252561,0.15418006417755425,1.1867545815746219
2140,-0.03486825170519778,1.7550503394587649,0.1488654286400229,1.1906107410469995
2150,-0.034575920186915333,1.7048065705385436,0.1414281113245042,1.1594657902761798
2160,-0.03369961411512105,1.6220886242335886,0.13274190489739765,1.1096330751146373
2170,-0.03227936664097988,1.5187987700709868,0.12272920747405418,1.059314986986796
2180,-0.0304695980221954,1.425156072391129,0.11333829161502833,0.9570387328479142
2190,-0.02946668649989666,1.3993441499679273,0.10943050819067737,0.8658638647248775
2200,-0.028866797019044273,1.3970040099235776,0.1081579221928202,0.8267857951591747
2210,-0.027150817346003307,1.317162110670897,0.10323792556339188,0.8042108477025147
2220,-0.028006194460456928,1.3634058837738257,0.10851537920859179,0.8971930891572754
2230,-0.032115514704270806,1.5727327911691906,0.12726163581702285,1.118615305313396
2240,-0.03717240453127767,1.8417644074509185,0.1502261896426735,1.3296320524034755
2250,-0.04170647118994059,2.0677076318711816,0.1700959057244524,1.5104065406544853
2260,-0.043858657612306326,2.1639529691213926,0.17997086768242582,1.6066608849786241
2270,-0.04383146711774562,2.1515390101053393,0.18079503874018016,1.6191205048873965
2280,-0.04199992664834009,2.0636260736821774,0.1748643773028017,1.5329196757290293
2290,-0.039497293038786116,1.967057537548385,0.16897386941620018,1.4201742660338819
2300,-0.037986459286605795,1.9307115171576534,0.16796056167819176,1.3633648391605049
2310,-0.035274895135826274,1.8511608579850511,0.16150133897041596,1.2408963615275181
2320,-0.030674587216346416,1.6709087692088065,0.14698445932180923,1.0392738938335024
2330,-0.02682313115514691,1.5139804027566273,0.13488979880980104,0.875415456377278
2340,-0.023243922069292242,1.3646365035548844,0.12291090116915922,0.7159289366577641
2350,-0.01874326639134679,1.162322513931631,0.1055323697119485,0.5311228406640256
2360,-0.012691711968077288,0.8925116962987034,0.08375912211028148,0.29070542972648833
2370,-0.009061871471601115,0.756116791005375,0.07253253939122684,0.12349761490784014
2380,-0.005630871379587252,0.6171741321994659,0.06169030228197003,-0.010903153880050268
2390,-4.4968644613695955e-4,0.3642685341433757,0.04035165001300751,-0.21684281947866563
2400,0.004077769209112401,0.13651849092839408,0.020453508126611814,-0.4129538289464102
2410,0.005221090907363933,0.10416853806029149,0.020069976844427212,-0.4800223305029777
2420,0.004903367315051736,0.13999112998250138,0.02597741041165745,-0.49186834834339155
2430,0.008234768561966317,-0.06615152984952082,0.009529356543454218,-0.6230910000728278
2440,0.010362338696842653,-0.218269699605742,-0.00215515704520976,-0.723744133655434
2450,0.011022177554077861,-0.2836186804043864,-0.005192316904281896,-0.7756115419884219
2460,0.011432866131784876,-0.3286659394424968,-0.006742013909429662,-0.8057741566184385
2470,0.011929605623410892,-0.397583660590494,-0.011465869960536145,-0.8440176994451178
2480,0.013192458290573392,-0.49680553877566297,-0.020355908449180685,-0.9209101005507455
2490,0.016673668399418064,-0.7311677446873783,-0.041456650258009646,-1.076657876825391
2500,0.017672835611915946,-0.7918727540628282,-0.04726962399570995,-1.1192538668577525
